FN	FIBSOL	FIBINS	FIBTG	FIBSDFS	FIBSDFP	FIBIDF	STARES	FIBTDF	NoticeFIB				
04032	0.1	0.3	0.4	0.5	0.2	0.3	0	1.1					
04097	0.1	0.3	0.4	0.5	0.2	0.3	0	1.1					
04098	0.1	0.3	0.4	0.5	0.2	0.3	0	1.1					
04033	0.1	0.3	0.3	0.6	0.1	0.3	0	0.9					
04099	0.1	0.3	0.3	0.6	0.1	0.3	0	0.9					
04100	0.1	0.3	0.3	0.6	0.1	0.3	0	0.9					
04034	0.2	0.2	0.4	-	-	-	-	-					
04035	0.2	0.1	0.3	-	-	-	-	-					
04036	0.2	0.3	0.5	-	-	-	-	-					
04037	0.2	0.1	0.3	-	-	-	-	-					
04038	0.1	0.4	0.5	-	-	-	-	-					
04039	0.2	0.5	0.7	0.1	0.4	0.3	-	0.8					
04113	-	-	-	0.9	0.2	0.4	0	1.5					
04040	0.5	0.8	1.3	-	-	-	-	-					
04084	0.4	0.5	0.9	-	-	-	-	-					
04086	0.2	0.4	0.6	-	-	-	-	-					
04085	0.5	0.7	1.2	-	-	-	-	-					
04095	0.2	0.4	0.5	-	-	-	-	-					
04041	0.6	0.8	1.4	-	-	-	-	-					
04042	0.5	1.9	2.5	-	-	-	-	-					
04087	0.2	0.4	0.5	-	-	-	-	-					
04043	0.3	0.5	0.8	-	-	-	-	-					
04044	0.2	0.6	0.8	-	-	-	-	-					
04045	0.2	0.5	0.7	-	-	-	-	-					
04088	0.9	2.3	3.2	-	-	-	-	-					
04046	2.3	4.4	6.7	1.2	2.7	5.6	-	9.5					
04047	2.0	3.9	5.9	-	-	-	-	-					
04048	2.0	2.9	4.9	-	-	-	-	-					
04114	-	-	-	1.6	1.4	3.1	Tr	6.0					
04049	1.6	6.0	7.6	-	-	-	-	-					
04115	-	-	-	1.6	4.2	11.4	0.2	17.2					
04051	0.4	11.1	11.5	-	-	-	-	-					
04089	1.5	42.1	43.6	-	-	-	-	-					
04052	0.2	0	0.2	0.6	0.2	0.1	Tr	0.9					
04053	0.2	0.1	0.3	0.8	0.3	Tr	Tr	1.1					
04054	0.1	0	0.1	0.7	0.4	0	Tr	1.0					
04055	5.9	11.9	17.8	-	-	-	-	-					
04056	1.4	19.5	20.9	-	-	-	-	-					
04057	0	4.2	4.2	-	-	-	-	-					
04090	0	4.2	4.2	-	-	-	-	-					
04058	0.5	5.1	5.6	-	-	-	-	-					
04059	0.2	0.6	0.8	-	-	-	-	-					
04060	0.6	2.4	3.0	-	-	-	-	-					
04091	0.3	0.9	1.2	-	-	-	-	-					
04061	0.2	3.0	3.2	-	-	-	-	-					
04062	0.9	1.9	2.8	-	-	-	-	-					
04063	2.1	8.1	10.2	-	-	-	-	-					
04064	1.3	20.7	22.0	-	-	-	-	-					
04092	0.6	12.8	13.4	-	-	-	-	-					
04065	1.2	15.1	16.3	-	-	-	-	-					
04066	0.5	11.1	11.6	-	-	-	-	-					
04067	1.1	19.9	21.0	-	-	-	-	-					
04068	1.2	25.5	26.7	-	-	-	-	-					
04069	0.7	6.9	7.6	-	-	-	-	-					
04070	1.4	18.3	19.6	-	-	-	-	-					
04093	0.8	10.2	10.9	-	-	-	-	-					
04071	0.6	14.0	14.6	-	-	-	-	-					
04072	0.4	4.8	5.2	-	-	-	-	-					
04073	1.0	15.7	16.7	-	-	-	-	-					
04094	0.9	8.5	9.4	-	-	-	-	-					
05001	0.8	9.3	10.1	-	-	-	-	-					
05002	1.1	9.0	10.1	-	-	-	-	-					
05040	1.1	10.0	11.0	-	-	-	-	-					
05003	1.2	21.8	23.0	-	-	-	-	-					
05041	9.1	14.7	23.8	-	-	-	-	-					
05004	1.7	19.1	20.8	-	-	-	-	-					
05005	0.8	5.9	6.7	-	-	-	-	-					
05006	1.8	5.5	7.3	-	-	-	-	-					
05007	2.5	15.7	18.2	-	-	-	-	-					
05008	0.2	1.4	1.6	-	-	-	-	-					
05009	0.2	2.2	2.4	-	-	-	-	-					
05010	0.3	3.9	4.2	-	-	-	-	-					
05011	0.3	6.3	6.6	-	-	-	-	-					
05012	0.3	2.5	2.8	-	-	-	-	-					
05013	1.0	7.5	8.5	-	-	-	-	-					
05014	0.6	6.9	7.5	-	-	-	-	-					
05015	1.9	14.6	16.5	-	-	-	-	-					
05016	0.5	13.6	14.1	-	-	-	-	-					
05017	1.6	9.2	10.8	-	-	-	-	-					
05018	2.5	10.1	12.6	-	-	-	-	-					
05019	0.6	12.4	13.0	-	-	-	-	-					
05042	1.8	9.4	11.2	-	-	-	-	-					
05020	0.7	2.6	3.3	-	-	-	-	-					
05021	1.1	6.0	7.1	-	-	-	-	-					
05046	-	-	-	1.9	3.8	31.2	0.1	36.9					
05022	1.0	5.6	6.6	-	-	-	-	-					
05023	0.3	2.3	2.6	-	-	-	-	-					
05024	1.3	9.0	10.3	-	-	-	-	-					
05043	0.6	4.4	5.0	-	-	-	-	-					
05025	0.5	2.4	2.9	-	-	-	-	-					
05047	-	-	-	0.6	0.8	6.9	0.5	8.2					
05048	-	-	-	0.5	0.8	3.8	2.1	5.1					
05026	0.9	8.3	9.2	-	-	-	-	-					
05027	0.8	6.1	6.9	1.7	0.5	5.7	0.1	7.9					
05028	0.3	6.9	7.2	-	-	-	-	-					
05029	0.9	6.5	7.4	-	-	-	-	-					
