NB2020 [media] data (yossy) 2026-01-08
user	code	origin	base	type	date	zidx	alt
yossy	yo-p-1e49-9773-57f4-f0c2	2021-12-3-2	koyomi	jpg	2021-12-04 10:41:35 +0900		PXL_20211203_084331483.jpg
yossy	yo-p-1e95-8194-b29e-31d7	yo-r-ROGgfrEdM3WCMQ65dMu2	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1ebb2324a5d5d39ff23c	yo-r-8e4b-0c89-ec5b-64d5	recipe	jpg	2022-02-11 09:31:01 +0900		K1SI5892.JPG
yossy	yo-p-1ef1-d656-5ebf-838e	yo-r-Raoe57JLa6EsJ9fuuxSO	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1f19-d65d-cb03-414b	yo-r-wAS0OsGKvNSofkrPOzxT	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1f3f-08a7-adc1-ea16	yo-r-NJV4fGlloZmPv1EpLoJg	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-1N1IA0u1K5jRawd8dfR5	yo-r-Hm5wtRV2HTuSLiEjw6rm	recipe	jpeg	2024-03-14 23:23:00 +0900	0	かぼちゃ
yossy	yo-p-2007-66dd-ab69-2dcf	yo-r-iPCTe5w6DIfzl1KjYRPp	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-200a1c03edf6aa17e079	yo-r-8121-1b38-3dd1-66b7	recipe	jpg	2022-02-11 09:34:48 +0900		K1SI5905.JPG
yossy	yo-p-20ca-544a-58d3-297e	yo-r-L1geXqK0jj4pGOpfQehC	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-20cf-8312-8d92-3980	yo-r-KGKpXitTYhBED1EvX0e6	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-211e-4488-459b-2312	yo-r-531RSk9wjqHAfnja7o5H	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-216306adb3d444729a0b	yo-r-a1b36f53edfbafd7edee	recipe	jpg	2023-03-27 23:19:29 +0900		K1SI6514.JPG
yossy	yo-p-2167-9d58-0ec7-91c4	yo-r-h70u64cKbYq1F4SdDHA8	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-21ca-588d-2aa4-b717	yo-r-ZarF3WYFYsI8SFzzkFHo	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-21fa-eaa9-6e4d-927e	yo-r-mfa9WvPK8fYIoEioU99V	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-220f-6eea-5a45-9a2c	yo-r-fjdCMqSvZ49wpCRwQJm9	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-2214-52fd-fd1f-fa99	yo-r-IHFfUgCchDP4HKltGY74	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-228696cebd6174409e77	yo-r-9272e835da5bbae8222c	recipe		2022-02-10 12:29:58 +0900		Photo
yossy	yo-p-22c0-188b-f6b5-ee91	yo-r-XmgTEZPNRBsfqafSd9AJ	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-22f4-d9fc-e1f1-8264	yo-r-WkOyhTBY2ewhBbW9HmpL	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-2312-1088-a688-4856	yo-r-oDen0EQLEkQuAknGAX1B	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-2313-bd51-86c0-9374	yo-r-cd80-eda4-7b2a-d8b3	recipe	jpg	2021-04-01 21:25:23 +0900		K1SI5301.JPG
yossy	yo-p-2334-ee51-d52c-563d	yo-r-P4Hf5vqplOB540Viza9B	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-2343-1251-9fc3-581c	yo-r-UUnqzwJUKE1HxMU5ypNi	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-2357-4f59-82da-f45f	yo-r-C9qu2u3eHRHIuSIuCnu7	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-23e6-8341-91cf-84c1	yo-r-Ra1u4RmcE9cXlhs2iLoV	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-23e79e17ac09f7ce1562	yo-r-f194a6ef47fa439b4ac8	recipe	jpg	2023-04-07 22:15:46 +0900		K1SI6865.JPG
yossy	yo-p-23e8-ec38-2cf0-1284	yo-r-UfRAK3P5q0iEVrShzyq5	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-240b-754b-944f-9ecb	yo-r-c95b-f03a-636e-9ab5	recipe	jpg	2021-04-01 21:31:46 +0900		K1SI5313.JPG
yossy	yo-p-243b-fa3d-6c8f-11d3	yo-r-QLGIXSWtFFUvnCd6kWI4	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
yossy	yo-p-2440-9451-87b2-eafb	yo-r-1XXZABiD8lnzxrwoyYNG	recipe	jpg	2021-03-08 00:00:00 +0900		Photo
